Value,Disaggregation combinations using this value,Number of indicators
Broadband internet subscriptions per 100 inhabitants by speed (per 100 population) / ANYS,1,1
Fixed broadband subscriptions per 100 inhabitants by speed (per 100 population) / 256KT2MBPS,1,1
Fixed Internet broadband subscriptions per 100 inhabitants by speed (per 100 population) / 2MT10MBPS,1,1
Fixed internet broadband subscriptions per 100 population of residents by speed (per 100 population) / 10MBPS,1,1
Number of high-speed broadband Internet subscriptions by speed / 10MBPS (number),1,1
Number of high-speed broadband Internet subscriptions by speed / 256MT2MBPS (number),1,1
Number of high-speed broadband Internet subscriptions by speed / 2MT10MBPS (number),1,1
Number of high-speed broadband Internet subscriptions by speed / ANYS (number),1,1
