Value,Disaggregation combinations using this value,Number of indicators
"Connecting and installing new devices (camera, printer)",1,1
Copy or move a file or folder,1,1
"Finding, download, and install software",1,1
"Preparation of electronic presentations by presentations software (including Text, images, audio, video, or graphics)",1,1
"Send emails with attachments (document, image, video)",1,1
Transfer files between  computer and other devices,1,1
Use basic arithmetic formulas in Data tables,1,1
Use copy and paste tools,1,1
Writing a computer program using a specialized programming language,1,1
