Year,Sub-indicators,Value
2016,The contribution of the industrial sector from the gross domestic product at current prices,5329.34
2017,The contribution of the industrial sector from the gross domestic product at current prices,5545.21
2018,The contribution of the industrial sector from the gross domestic product at current prices,5700.86
2016,Manufacturing value added per capita,54.39
2017,Manufacturing value added per capita,55.16
2018,Manufacturing value added per capita,55.3
