Year,Governorate,Value
2015,Amman,12.3
2016,Amman,12.1
2017,Amman,12.8
2018,Amman,10.4
2015,Balqa,7.0
2016,Balqa,7.4
2017,Balqa,7.0
2018,Balqa,6.9
2015,Zarqa,19.4
2016,Zarqa,17.6
2017,Zarqa,17.3
2018,Zarqa,16.2
2015,Madaba,6.4
2016,Madaba,7.7
2017,Madaba,8.5
2018,Madaba,6.8
2015,Irbid,7.2
2016,Irbid,6.6
2017,Irbid,6.8
2018,Irbid,8.0
2015,Mafraq,3.9
2016,Mafraq,4.5
2017,Mafraq,7.1
2018,Mafraq,6.1
2015,Jarash,5.0
2016,Jarash,3.8
2017,Jarash,6.2
2018,Jarash,5.3
2015,Ajloun,2.9
2016,Ajloun,4.0
2017,Ajloun,4.9
2018,Ajloun,4.9
2015,Karak,3.8
2016,Karak,3.5
2017,Karak,6.0
2018,Karak,5.1
2015,Tafiela,4.4
2016,Tafiela,5.2
2017,Tafiela,7.5
2018,Tafiela,7.1
2015,Ma'an,5.2
2016,Ma'an,2.5
2017,Ma'an,2.8
2018,Ma'an,2.8
2015,Aqaba,4.7
2016,Aqaba,4.5
2017,Aqaba,9.2
2018,Aqaba,7.6
2015,kingdom,10.0
2016,kingdom,9.7
2017,kingdom,10.9
2018,kingdom,9.6
