Year,Sex,Value
2015,Total,99.2
2015,Male,99.1
2015,Female,99.35
2016,Total,99.15
2016,Male,99.1
2016,Female,99.26
2017,Total,98.55
2017,Male,98.49
2017,Female,98.62
2018,Total,98.3
2018,Male,98.0
2018,Female,98.6
