Year,Sex,Value
2016,Total,31.61
2016,Male,32.11
2016,Female,31.08
2017,Total,33.98
2017,Male,34.44
2017,Female,33.51
2018,Total,36.52
2018,Male,37.08
2018,Female,35.96
