Year,Sex,Value
2016,Total,15.0
2016,Male,18.0
2016,Female,12.8
2017,Total,15.7
2017,Male,20.0
2017,Female,12.2
2018,Total,13.2
2018,Male,17.5
2018,Female,9.8
