Year,Governorate,Value
1997,Amman,19.6
2002,Amman,9.2
2006,Amman,9.4
2008,Amman,8.3
2010,Amman,11.4
1997,Balqa,21.8
2002,Balqa,17.8
2006,Balqa,15.3
2008,Balqa,19.7
2010,Balqa,20.9
1997,Zarqa,16.3
2002,Zarqa,22.3
2006,Zarqa,14.9
2008,Zarqa,11.2
2010,Zarqa,14.1
1997,Madaba,23.9
2002,Madaba,10.7
2006,Madaba,10.0
2008,Madaba,14.9
2010,Madaba,15.1
1997,Irbid,26.0
2002,Irbid,13.8
2006,Irbid,12.1
2008,Irbid,14.7
2010,Irbid,15.0
1997,Mafraq,35.9
2002,Mafraq,25.4
2006,Mafraq,23.0
2008,Mafraq,31.9
2010,Mafraq,19.2
1997,Jarash,19.2
2002,Jarash,18.4
2006,Jarash,16.7
2008,Jarash,20.3
2010,Jarash,20.3
1997,Ajlun,17.3
2002,Ajlun,9.7
2006,Ajlun,17.7
2008,Ajlun,13.3
2010,Ajlun,25.6
1997,Karak,13.0
2002,Karak,12.2
2006,Karak,21.7
2008,Karak,17.1
2010,Karak,13.4
1997,Tafiela,24.3
2002,Tafiela,10.6
2006,Tafiela,19.1
2008,Tafiela,21.1
2010,Tafiela,17.2
1997,Ma'an,37.3
2002,Ma'an,24.1
2006,Ma'an,12.7
2008,Ma'an,24.2
2010,Ma'an,26.6
1997,Aqaba,17.0
2002,Aqaba,15.2
2006,Aqaba,15.5
2008,Aqaba,11.8
2010,Aqaba,19.2
1997,kingdom,21.3
2002,kingdom,14.2
2006,kingdom,13.0
2008,kingdom,13.3
2010,kingdom,14.4
