Year,Sex,Value
2016,Total,95.35
2016,Male,94.99
2016,Female,95.72
2017,Total,93.27
2017,Male,92.43
2017,Female,94.14
2018,Total,94.7
2018,Male,94.54
2018,Female,94.87
