Year,Sex,Value
2016,Total,68.54
2016,Male,62.32
2016,Female,74.57
2017,Total,68.15
2017,Male,61.93
2017,Female,74.67
2018,Total,71.25
2018,Male,64.84
2018,Female,77.94
