Year,Sex,Value
2016,Total,101.6
2016,Male,101.7
2016,Female,101.6
2017,Total,103.6
2017,Male,103.8
2017,Female,103.3
2018,Total,103.7
2018,Male,103.3
2018,Female,104.1
